ReviewerID,P_interests,O_interests,P_intentions,O_intentions,product_preferences
A1RAEKWWYNA5R6,self-improvement and personal transformation,"writing, publishing, and reviewing on Amazon",change negative habits,learn how to get good Amazon reviews,non-fiction self-help books
A1RCVV077UAKKV,Paranormal Romance,"Romantic Suspense, Sci-Fi Romance, Historical Romance",Recommend and Reread Books,Read More Series from Authors,"Paranormal Romance, Romantic Suspense, Sci-Fi Romance, Historical Romance"
A1RD05YFMWKM4Y,paranormal romance,"romantic suspense, sci-fi romance, sports romance, shifter romance","read for entertainment, seeking a light romance, looking for a quick and easy read","seeking a more mature and realistic read, wanting to be emotionally invested in the story and characters","books offered as kindleunlimited, books priced under $5, books with steamy content"
A1RD1NM0602OQO,"books, romance, paranormal, shifters, vampires, witches, magic","reading, writing","enjoy the story, learn about the characters","share opinions, recommend books","paranormal romance novels, shifters, vampires, witches, magic, fantasy, adventure, suspense"
A1RDYQ3CR9WOBH,stories with engaging premises,"reading historical fiction, romance novels, science fiction","enjoy a good story, engage with the plot","improve historical research, edit for grammatical errors","short stories, romance novels"
A1RF70MWVANZCU,Mystery,"Paranormal, Fantasy, Romance, Women's Fiction",Solve a murder,"Read a good story, Enjoy a romance","E-book, Novella"
A1RKD07ST2BLOQ,"books, reading, literature, romance, westerns, regency era","baseball, history, fashion, ministry","enjoy, recommend, identify with, appreciate","disagree with, warn others, wish for more, get disappointed","clean, fun, romance, western, regency, mystery, historical fiction"
A1RKFEHQFLV16O,fantastic read,storytelling with multiple endings,keep reader hooked,anticipate the continuation,books
A1RL1Q5LPSFZL6,Psychological thrillers and action-packed stories,Paranormal romance and character-driven fiction,To enjoy a thrilling and unpredictable story,To explore a new world and characters,Paranormal novels
A1RLYCQVO9OJ0K,Science fiction,Various,Review books,Compare series and authors,Series and series within series
A1RN75YVR2O8MQ,fantasy romance,"music, riding",get hooked,form relationships,books
A1RN93FCV9O6CK,:[,:[,:[,:[,:[
A1ROD4LULTKS8R,"mysteries, murder, suspense","urban fiction, romance, drama",discuss plot twists and endings,express enthusiasm and excitement,"urban fiction, mystery novels"
A1RPQMHJSNR8U8,"family, relationships, romance, holidays, drama, intrigue, love stories, family holiday story","abuse, mental health, mental or physical abuse, sci-fi, historical themes, bikers, club life, sex","creating memories, overcoming drama, pursuing love, escaping abuse, fighting for relationships","conquering family, controlling emotions, handling relationships, exploring forbidden lust, dealing with abuse, finding freedom, fighting for love","family sagas, romance novels, holiday stories, sexy and emotional stories, unusual circumstances, complex characters, inspiring love stories, fun and dramatic stories, hot and intense stories"
A1RRMF5XW5NZDD,books,reading,determine opinions,learn about authors,books or novellas
A1RUGOMYCF8NF4,Smutty stories,Good editing,Read for entertainment,Read for enjoyment,Romance novels with realistic heroes
A1RVTF261ZMY4M,Romance,Various,Read and enjoy,Follow series and characters,"Novels, Amazon Kindle books"
A1RW0U9YBDZ7UT,"Romance, Mystery, Drama",Mixed interests that vary,Read romantic stories with HEA,Explore complex characters and stories,Romance Novels with continued characters and stories
A1RXR105ND8OSH,gay romance,"mystery, romance series",dive into a quick and engaging read,critically evaluate narrative and character development,digital book with unique narrative voice
A1S3CIZFVRRJKE,Historical romance,"Literary fiction, Tea cup novellas",Read book as standalone,"Follow series, Purchase subsequent books","Clean read, Short, Historical romance"
A1S4WYP4HG3JNR,"Paranormal, Shifters, Action, Drama, Romance, Family, Humor","Holiday, Holiday Reads, Romance, Fantasy","Entertain, Engage, Hold Attention, Enjoy","Recommend, Suggest, Read Again","Paranormal Box Sets, Shifter Series, Hot Romance, Complete Stories"
A1S6E95PL8PML2,"Romance, Romance Novellas, Short Stories","erotica, paranormal, historical, contemporary, military, Amish","reading romance novels, searching for new romance authors","reading erotica, experiencing paranormal and historical romance, reading military and Amish stories","romance, novellas, short stories, erotic stories, paranormal, historical, contemporary, military, Amish"
A1SBQ0F7FSLWB0,romance,romantic love,read,relate,romance novels
A1SH628C7U6XHR,Romance Novellas,"Western Romance, Second Chance Love, Plots with Complications","Entertaining Reads, Emotional Stories","Quick Storytelling, Compelling Character Development","Romance Novels, Contemporary Romance, Western Romance"
A1SH6H9ZY9AJV9,"books, romance, fantasy, adventure, humor, sex, writing, characters, world-building","writing style, dialogue, mythology, mythology handling, series, character development, romance, sex","criticize, review, give constructive feedback, recommend, warn","discuss, analyze, compare, criticize, provide feedback","sexy romance, well-written stories, humor, wit, character growth, gritty stories, fantasy yarn, romance escapism, comfort level"
A1SHF7Y7K6QJ39,Romance,Books,Read and review books,Provide honest reviews,Ebooks
A1SHKP1CG58GIG,couples relationships romance,school nerd romance jock,good read,overcome obstacles perseverance love,romance stories
A1SHWSPRJ6X3J5,Paranormal Romance,"Action, Adventure, Fantasy",Read Mature Content,Recommend Books to Mature Readers,"Paranormal Romance, Shifters, Bear Shifters, Dragons, Tiger Shifters, Alien Romance, MC Books, Motorcycle Club, Biker Romance, Fantasy, Adventure, Action, Hot Sex, Violence, Explicit Content"
A1SI4HWV491JQ8,shifters,supernaturals/immortals,enjoy reading romance stories,connect with characters and storylines,"romance novels, shifters"
A1SKQ5W90YXHF4,"Romance, Suspense, Navy Seal, Cowboys, Love Stories","Military, Government, Crime, Thrillers, Science Fiction","Find Soulmate, Protect Innocent, Fight Evil, Rescue Hostage","Destroy ISIS, Stop Domestic Violence, Investigate Murder, Protect Family","Romantic Suspense Novels, Military Fiction, Paranormal Romance"
A1SN442LRFDJIE,paranormal events,"complex plot, love, self sacrifice, friendship",reading,recommending,books
A1SPKCPR0BAZMY,reading,thinking,keeping reading,thinking about,books
A1SUV0W0CB3KVM,Romance,"Reading, Writing",Recommend the book,Give constructive feedback,"Romantic Novels, Kindle Books"
A1SVA69J57MX2A,science of getting rich,"sci-fi, romance, slow cooker recipes","inspirational reading, seeking a fresh twist","gambling on a new genre, learning to use a slow cooker","books with original plots, ebook on slow cooking"
A1SVKXS358TXW2,romance,other genres,recommend series,read next book,romance novels at reasonable prices
A1SXDVX98NJLHZ,books,authors,recommend,read,books
A1SZ7SSVVG3VXG,romance novels,"mystery, suspense, horror",recommend books,continue series,series of romantic novels with developed characters and fast-paced storylines
A1SZW98SMUZTQJ,"romance, love stories, emotional rollercoasters","mystical powers, eternal love, finding perfect matches","strongly recommend books, share reading experiences, discuss plotlines","analyze characters, question relationships, explore themes","books, series, collections, emotional, intense, romantic stories"
A1T24CW443O0XE,romance,,read more books by the same author,,romance novels
A1T374JSMQ9O9M,reading romance novels,,thoroughly enjoying books,,romance novels
A1T41R2H7X3ASO,"mystery, romance, suspense, crime, adventure","love, infidelity, anger, hurt, retribution, acceptance, friendship, and reaping rewards","solve a mystery, uncover the truth","learn from mistakes, deal with personal problems","mystery novels, romance novels, suspense novels, crime novels, adventure novels"
A1T4ICOVYLZE4,reading,,enjoyed,great job,books
A1T5CK8KC56JZ9,Romance,Drama,Read,Review,Romance Novels
A1T77WWA0TSSGB,books,"bands, music, romance, friends to lovers stories, sexy reads, MC series",find a new favorite book series,"discuss favorite characters, recommend books, share reading experiences","romance, MC series, sexy reads, book series"
A1T81IM4UMV468,Romance,Small Towns,Laugh out loud,Find love,Romance Novels
A1TA5QYECZP1L1,"epic good vs evil arcs, dark fantasy, historical settings","horror, science fiction",to be transported to immersive worlds,"to explore unexplained mysteries, to experience vivid imagery","short stories, fantasy novels, horror stories, science fiction"
A1TDMSBYWU6QC0,Mafia romance,"Taboo stories, erotic stories with alpha males","Reading, connecting with characters",Expecting engaging stories with good storyline,Page turners with drama and action
A1TGONTA2A2HSM,"cube kid books, page turners","minecraft, writing skills","recommend books, stay tuned","warn against scams, prevent wasteful spending","cube kid books, diary publishers"
A1TIOO6NMCHBKK,Romance,Drama,Reading,Entertainment,Romance novels
A1TJKEWDZGEUES,humor,relatable stories,read a fun story,think about life,"books, stories"
A1TMY1KQMPEHQ8,"Thriller, Adventure, Action, Politics, Intrigue","Paranormal Romance, FBI, CIA, Foreign Intrigue, Hacking","Entertain, Thrill, Keep Readers on Edge","Follow Characters' Growth, Development, Explore Relationships","Fast-Paced, Action-Packed, Exotic Locations"
A1TNVUMSPY8BM1,urban romance, Hood drama,follow characters relationships,see characters grow and develop,urban romance novels
A1TP2A2D0KFNR3,"action-packed stories, romance, suspense","children's stories, vampire stories, shifter stories","to read series, to follow characters","to give honest review, to try author's new work","books with fast-paced action, romance, and suspense"
A1TPW86OHXTXFC,literature,"history,  crime, family, love, humor","analyze, critique, recommend","solve mystery, learn, explore","novels, books, stories"
A1TR7SQWWLREQR,Romance stories with complex relationships,"Humor, emotional connections",To enjoy a romantic and emotional experience,To explore complex relationships and character development,Romance novels with engaging characters
A1TS96JTWEGUT7,book,,highly recommend,,book
A1TT87JT5IPWM5,"romance, steamy love scenes, suspense, action","reading, books, aliens, shifters","read, enjoy, like","get the next book, read more","quick little fluff story, great read, shifter read, sexy love scenes"
A1TUBKEWD01LLS,"Romance, Contemporary Romance, Romance Novels","Mystery, Thriller, Horror, Science Fiction, Fantasy","Reading, Reviewing, Writing, Learning","Watching TV, Playing Games, Exercising, Socializing","E-books, Audiobooks, Physical Books, Romance Novels"
A1TVJ9WDRP0UZS,"Romance, Laughter, Emotion, Adventure, Suspense","Historical Fiction, Mystery, Christian Romance, Western, Fantasy","Entertain, Laugh, Cry, Engage, Escape","Educate, Inspire, Challenge, Inform, Entertain","Romance Novels, Historical Fiction, Christian Romance, Westerns, Fantasy"
A1TWV867HVZ60,romance novels,books,critique and review,provide feedback,romance novels
A1TYECW2J3TXJ,Romance,Mystery,Read more books by the author,Discover new authors,"Christian mysteries, mail order bride stories, romance novels"
A1U0RS0JIDAHDM,Faeries,"Riddles, fire, humans, vampires, werewolves, shapeshifters, royalty, romance","Protect, survive, find truth","Read, review, discover, overcome, create","Books, series, romance, fantasy, adventure"
A1U1U76197QYTT,romance,mystery,read a quick story,follow a series under cover cops,books
A1U2E581BQECO9,YA Fantasy,"Fairytale, Christian fiction, Sci Fi, YA romance","Enjoying the series, Reading a recommendation","Looking forward to reading more, Recommending to others","Clean writing, Christian themes, YA fiction, Fantasy, Romance"
A1U37G3A1C7FC6,romance,suspense,read,recommend,"contemporary romance, steamy romance, paranormal, shifter romance"
A1U3Z4ZHK688W7,"romance novels, love stories, family drama","action, suspense, dialogue, mystery","read for a good love story, enjoy romance novels","skip boring parts, look for more dialogue, drama","romance novels, quick reads, alpha male stories"
A1U5LDNNN9L892,suspenseful stories,"romantic stories, books, fiction",find entertaining stories,learn from the characters,"books, specifically fiction and romantic stories"
